ts,red_raw,ir_raw,led_current
41554,2275179,2819006,50
41570,2275193,2819031,50
41585,2275193,2819027,50
41600,2275212,2819051,50
41614,2275202,2819033,50
41629,2274514,2817076,50
41649,2274437,2816995,50
41664,2274442,2816961,50
41686,2274426,2816911,50
41703,2274420,2816841,50
41718,2274398,2816876,50
41736,2274595,2817409,50
41751,2274614,2817478,50
41766,2274555,2817449,50
41783,2274621,2817499,50
41799,2274634,2817462,50
41814,2274634,2817473,50
41828,2274715,2817700,50
41842,2274720,2817713,50
41863,2274718,2817703,50
41879,2274736,2817733,50
41894,2274731,2817728,50
41910,2274751,2817739,50
41926,2274654,2817546,50
41941,2274666,2817515,50
41955,2274666,2817515,50
41970,2274683,2817551,50
41985,2274666,2817535,50
42000,2274624,2817548,50
42014,2274695,2817577,50
42035,2274835,2818008,50
42050,2274858,2818004,50
42064,2274814,2818067,50
42080,2274850,2818050,50
42095,2274830,2818059,50
42110,2274846,2818083,50
42125,2275036,2818550,50
42139,2275071,2818505,50
42154,2275034,2818521,50
42168,2275050,2818525,50
42183,2275048,2818563,50
42205,2275059,2818552,50
42220,2275127,2818708,50
42234,2275121,2818688,50
42248,2275114,2818699,50
42264,2275144,2818712,50
42279,2275137,2818716,50
42296,2275152,2818718,50
42312,2275139,2818740,50
42327,2275242,2818994,50
42341,2275258,2819005,50
42355,2275232,2818991,50
42376,2275238,2819016,50
42391,2275254,2819045,50
42406,2275234,2819040,50
42423,2274693,2817290,50
42438,2274630,2817277,50
42452,2274561,2817219,50
42466,2274606,2817183,50
42480,2274559,2817126,50
42495,2274582,2817114,50
42511,2274542,2817061,50
42526,2274705,2817534,50
42546,2274738,2817612,50
42561,2274741,2817589,50
42575,2274739,2817624,50
42590,2274742,2817635,50
42606,2274757,2817694,50
42620,2274834,2817938,50
42637,2274857,2817938,50
42653,2274840,2817941,50
42668,2274884,2817934,50
42688,2274864,2817976,50
42705,2274851,2817943,50
42720,2274855,2817978,50
42734,2274724,2817657,50
42748,2274737,2817657,50
42763,2274740,2817678,50
42777,2274731,2817642,50
42795,2274759,2817668,50
42815,2274870,2817996,50
42830,2274891,2818012,50
42844,2274870,2818030,50
42858,2274884,2818050,50
42874,2274894,2818070,50
42888,2274891,2818089,50
42906,2274885,2818107,50
42922,2275060,2818523,50
42936,2275034,2818514,50
